個人
"仕訳日記帳"
00000125,"マジック                          "
"自27年 1月 1日","至27年12月31日","月分",
"日付","決修","伝票番号","部門コード","借方コード","借方名称","借方枝番","借方枝番摘要","貸方コード","貸方名称","貸方枝番","貸方枝番摘要","金額","摘要","税区分","対価","仕入区分","売上業種区分","消費税科目","売仕区分","ダミー3"
H27.1.1,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,440,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.2,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,730,"㈱セブンタクシー　タクシー代",11,,,,借,仕,
H27.1.2,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,540,"トップ　ポリ袋代",11,,,,借,仕,
H27.1.3,0,,"",722,"消　耗　品　費",,,101,"現　　　　　金",,,2089,"イオン東神奈川店　カレンダー",11,,,,借,仕,
H27.1.3,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.4,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,324,"共　通：サンマルクカフェ　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.5,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,1620,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.1.5,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,390,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.5,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,972,"事業用：㈱髙島屋　従業員おやつ代",11,,,,借,仕,
H27.1.6,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,2400,"事業用：珈琲館　従業員飲物代",11,,,,借,仕,
H27.1.7,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,583,"事業用：ポンパドウル　従業員おやつ代",11,,,,借,仕,
H27.1.7,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,2370,"事業用：㈱髙島屋　従業員残業食事代",11,,,,借,仕,
H27.1.7,0,,"",829,"車　　両　　費",,,101,"現　　　　　金",,,3612,"セルフ反町ＳＳ　ガソリン代",11,,,,借,仕,
H27.1.8,0,,"",827,"新　聞　図書費",,,101,"現　　　　　金",,,1704,"㈱有隣堂　書籍代",11,,,,借,仕,
H27.1.8,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,101,"事業用：イオン東神奈川店　従業員おやつ代",11,,,,借,仕,
H27.1.8,0,,"",316,"預　　り　　金",1,"・給与源泉所得税",101,"現　　　　　金",,,236,"７〜月分・給与源泉所得税",,,,,,,
H27.1.10,0,,"",716,"福　利　厚生費",2,"共　通：",101,"現　　　　　金",,,540,"共　通：神戸屋　従業員早朝出勤食事代",11,,,,借,仕,
H27.1.10,0,,"",721,"旅　費　交通費",,,101,"現　　　　　金",,,910,"川崎タクシー㈱　タクシー代",11,,,,借,仕,
H27.1.10,0,,"",716,"福　利　厚生費",1,"事業用：",101,"現　　　　　金",,,200,"事業用：セブンイレブン　従業員飲物代",11,,,,借,仕,
H27.1.10,0,,"",196,"店　主　勘　定",,,101,"現　　　　　金",,,7000,"原昭夫　川崎市　市民税・県民税　第４期分",,,,,,,
